# Accelerometer Data File
# Started @Tue Aug 01 23:45:42 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.139 0.261 9.761 0
0.127 0.249 9.753 20
0.093 0.312 9.77 20
0.136 0.245 9.765 20
0.117 0.252 9.758 20
0.069 0.333 9.768 20
0.093 0.292 9.765 20
0.103 0.261 9.77 20
0.079 0.316 9.768 21
0.11 0.29 9.758 20
0.11 0.266 9.775 20
0.074 0.314 9.78 20
0.084 0.29 9.758 20
0.079 0.302 9.775 20
0.072 0.326 9.785 20
0.108 0.297 9.753 21
0.105 0.271 9.761 20
0.06 0.314 9.761 20
0.093 0.348 9.761 20
0.1 0.307 9.765 20
0.074 0.319 9.758 20
0.096 0.3 9.78 20
0.112 0.302 9.756 21
0.1 0.316 9.77 20
0.12 0.29 9.758 20
0.122 0.292 9.777 20
0.091 0.292 9.768 20
0.103 0.29 9.756 20
0.129 0.295 9.78 20
0.124 0.295 9.777 21
0.132 0.268 9.763 20
0.136 0.276 9.761 20
0.129 0.292 9.777 20
0.127 0.29 9.785 20
0.122 0.288 9.756 20
0.127 0.29 9.761 20
0.124 0.295 9.761 21
0.136 0.278 9.765 20
0.129 0.297 9.775 20
0.124 0.285 9.753 20
0.112 0.288 9.758 20
0.103 0.309 9.775 20
0.127 0.3 9.756 20
0.103 0.316 9.758 21
0.129 0.321 9.765 20
0.062 0.271 9.789 20
0.12 0.204 9.758 20
0.16 0.355 9.777 20
0.033 0.309 9.775 20
-0.042 0.158 9.77 20
0.223 0.295 9.78 21
0.34 0.403 9.751 20
0.155 0.225 9.761 20
-0.104 0.309 9.768 20
-0.203 0.448 9.761 20
0.211 0.228 9.761 20
0.553 0.206 9.761 20
0.254 0.738 9.789 21
0.069 0.498 9.785 20
0.34 -0.169 9.763 20
0.436 0.168 9.691 20
0.179 0.434 9.648 20
-0.327 0.448 9.586 20
-0.435 0.575 9.583 20
-0.327 0.386 9.9 21
-0.811 0.506 9.641 20
-1.333 0.865 9.648 20
-1.682 0.314 9.227 20
