# Accelerometer Data File
# Started @Tue Aug 01 23:12:13 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.112 0.168 9.777 0
0.012 0.297 9.785 20
0.053 0.242 9.744 20
0.069 0.197 9.749 20
0.043 0.288 9.782 20
0.074 0.189 9.751 20
0.088 0.194 9.753 20
0.031 0.304 9.782 20
0.079 0.225 9.765 21
0.084 0.223 9.773 20
0.024 0.257 9.753 20
0.064 0.252 9.761 20
0.11 0.242 9.782 20
0.1 0.213 9.749 20
0.088 0.257 9.765 20
0.088 0.242 9.794 21
0.091 0.245 9.753 20
0.112 0.28 9.763 20
0.127 0.228 9.753 20
0.112 0.245 9.751 20
0.117 0.264 9.775 20
0.155 0.249 9.763 21
0.148 0.28 9.78 20
0.132 0.249 9.77 20
0.117 0.24 9.763 20
0.12 0.259 9.756 20
0.134 0.228 9.765 20
0.158 0.245 9.753 20
0.136 0.252 9.756 20
0.127 0.218 9.765 21
0.127 0.249 9.768 20
0.132 0.245 9.753 20
0.124 0.235 9.753 20
0.124 0.228 9.787 20
0.117 0.218 9.742 20
0.103 0.245 9.765 21
0.103 0.237 9.775 20
0.1 0.254 9.768 20
0.103 0.266 9.765 20
0.098 0.237 9.763 20
0.093 0.254 9.763 20
0.103 0.261 9.753 20
0.1 0.24 9.761 21
0.074 0.252 9.77 20
0.069 0.257 9.773 20
0.076 0.266 9.768 20
0.084 0.254 9.768 20
0.069 0.245 9.751 20
0.062 0.259 9.768 20
0.062 0.254 9.775 20
0.076 0.245 9.768 21
0.057 0.252 9.753 20
0.062 0.249 9.765 20
0.067 0.261 9.763 20
0.072 0.242 9.758 20
0.079 0.233 9.775 20
0.093 0.247 9.775 20
0.076 0.233 9.77 21
0.096 0.233 9.775 20
0.098 0.245 9.765 20
0.084 0.242 9.775 20
0.091 0.23 9.768 20
0.127 0.237 9.749 20
0.112 0.261 9.77 21
0.105 0.249 9.765 20
0.105 0.223 9.758 20
0.146 0.252 9.758 20
0.139 0.257 9.775 20
0.117 0.218 9.758 20
0.112 0.223 9.773 20
0.132 0.259 9.763 21
0.124 0.242 9.768 20
0.127 0.261 9.758 20
0.11 0.247 9.761 20
0.115 0.273 9.763 20
0.146 0.247 9.761 20
0.167 0.245 9.758 20
0.112 0.264 9.768 20
0.062 0.24 9.773 21
0.112 0.235 9.758 20
0.143 0.218 9.751 20
0.124 0.285 9.761 20
0.067 0.273 9.756 20
0.096 0.228 9.773 20
0.124 0.261 9.758 20
0.143 0.283 9.742 21
0.033 0.242 9.768 20
0.139 0.168 9.739 20
0.29 0.309 9.777 20
0.218 0.386 9.804 20
0.163 0.254 9.878 20
0.187 0.407 9.761 21
0.117 0.707 9.469 20
