# Accelerometer Data File
# Started @Tue Aug 01 23:16:22 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.129 0.331 9.753 0
0.141 0.374 9.751 20
0.136 0.352 9.758 20
0.1 0.297 9.775 20
0.115 0.328 9.763 20
0.129 0.316 9.773 20
0.122 0.247 9.775 20
0.1 0.235 9.77 21
0.103 0.252 9.756 20
0.11 0.209 9.763 20
0.086 0.201 9.768 20
0.079 0.213 9.763 20
0.086 0.209 9.761 20
0.074 0.175 9.756 20
0.081 0.175 9.77 21
0.074 0.187 9.761 20
0.053 0.194 9.746 20
0.053 0.213 9.763 20
0.045 0.221 9.782 20
0.055 0.218 9.758 20
0.055 0.242 9.775 20
0.06 0.285 9.768 21
0.048 0.307 9.758 20
0.057 0.304 9.751 20
0.062 0.333 9.758 20
0.062 0.359 9.753 20
0.062 0.333 9.761 20
0.076 0.357 9.768 20
0.084 0.362 9.768 21
0.1 0.338 9.77 20
0.067 0.362 9.753 20
0.081 0.343 9.77 20
0.084 0.333 9.775 20
0.122 0.319 9.768 20
0.117 0.319 9.765 20
0.098 0.28 9.777 21
0.11 0.285 9.756 20
0.127 0.266 9.77 20
0.127 0.218 9.763 20
0.105 0.24 9.742 20
0.115 0.237 9.775 20
0.148 0.211 9.773 20
0.158 0.204 9.761 21
0.155 0.216 9.758 20
0.108 0.228 9.756 20
0.108 0.218 9.763 20
0.153 0.192 9.77 20
0.16 0.245 9.753 20
0.148 0.23 9.775 20
0.091 0.23 9.765 21
0.076 0.328 9.718 20
0.203 0.319 9.744 20
0.412 0.216 9.818 20
0.483 0.362 9.809 20
0.275 0.556 9.761 20
0.053 0.561 9.591 20
0.074 0.383 9.627 21
0.024 0.314 9.6 20
-0.466 0.656 9.758 20
-1.122 0.786 9.299 20
-1.148 0.989 9.198 20
-0.945 1.044 9.71 20
-0.88 -0.31 9.816 20
-2.041 -0.195 8.777 21
-3.167 0.68 9.976 20
-3.066 0.178 8.908 20
-2.245 -1.394 10.065 20
-4.076 -0.731 10.07 20
-4.965 -0.36 9.94 20
-5.544 -0.774 10.345 20
-5.448 -0.624 10.984 21
-3.906 -0.626 13.402 20
-6.519 -0.391 13.127 20
-8.568 -2.503 7.05 20
-3.253 -0.983 4.134 20
5.238 0.525 11.765 20
3.639 0.087 9.785 20
-1.321 0.386 8.473 21
-1.742 0.051 9.035 20
2.164 -0.157 8.571 20
5.863 0.874 9.188 20
6.708 1.403 10.175 20
3.467 0.541 9.469 20
1.633 0.726 9.133 20
3.929 1.36 9.583 21
7.415 1.061 10.886 20
8.535 1.078 11.03 20
6.026 1.401 10.33 20
3.938 1.458 9.885 20
4.688 1.329 10.196 20
6.625 0.781 10.941 20
6.163 0.383 10.864 21
3.531 0.977 9.969 20
2.547 0.541 9.631 20
3.052 0.029 9.904 20
3.287 0.345 10.125 20
2.952 0.206 9.832 20
1.726 0.087 9.428 20
1.228 -0.212 9.397 21
1.685 -0.492 9.543 20
1.58 -0.2 9.536 20
0.879 -0.248 9.344 20
0.06 -0.351 9.287 20
-0.385 -0.264 9.349 20
-0.404 -0.135 9.399 20
-0.897 -0.104 9.346 21
-1.663 -0.066 9.435 20
-2.264 -0.207 9.516 20
-2.985 -0.217 9.658 20
-3.329 -0.018 9.708 20
-3.772 0.053 9.785 20
-4.117 0.06 9.804 20
-4.234 -0.008 9.926 21
-4.184 -0.023 9.969 20
-3.952 -0.035 10.053 20
-3.533 0.022 10.089 20
-2.978 0.201 9.974 20
-2.432 0.189 9.849 20
-1.91 -0.061 9.818 20
-0.437 -0.547 9.799 21
-0.416 -0.193 9.801 20
-0.768 0.041 9.88 20
-0.406 -0.152 9.677 20
-0.373 0.089 9.641 20
-1.237 0.474 9.742 20
-0.866 0.13 9.691 20
-1.285 0.568 9.763 21
-1.326 0.649 9.713 20
-0.449 0.151 9.634 20
-0.624 0.573 9.646 20
-0.65 0.716 9.653 20
-0.164 0.271 9.648 20
0.223 0.249 9.629 20
0.692 0.45 9.655 21
0.974 0.307 9.674 20
1.542 0.065 9.703 20
2.092 0.11 9.734 20
2.471 0.18 9.773 20
2.969 -0.078 9.792 20
3.529 -0.037 9.799 20
3.864 0.139 9.947 21
3.627 -0.061 9.938 20
3.366 -0.037 9.895 20
2.71 0.395 9.873 20
1.824 0.522 9.844 20
0.646 0.474 9.746 20
-0.677 0.927 9.756 20
-1.287 1.008 9.684 21
-1.23 0.541 9.768 20
-0.6 -0.643 9.742 20
-0.55 -0.434 9.713 20
-0.871 0.005 9.763 20
-0.624 0.024 9.73 20
-0.624 0.867 9.792 20
-0.059 0.673 9.751 21
0.201 0.225 9.749 20
0.017 0.386 9.753 20
0.323 0.319 9.787 20
0.895 -0.219 9.761 20
0.728 0.055 9.737 20
0.024 0.711 9.777 20
-0.119 0.419 9.785 21
-0.253 0.41 9.77 20
-0.363 0.517 9.744 20
-0.413 0.151 9.751 20
-0.976 0.106 9.828 20
-1.005 0.209 9.703 20
-1.759 0.233 9.706 20
-1.833 0.115 9.715 21
-1.881 0.415 9.782 20
-1.761 0.245 9.682 20
-1.409 0.053 9.725 20
-0.701 0.079 9.718 20
0.369 0.008 9.732 20
1.544 -0.159 9.813 20
2.274 -0.181 9.785 21
2.533 -0.099 9.842 20
2.566 -0.116 9.821 20
2.624 -0.09 9.871 20
2.507 0.02 9.782 20
2.291 0.182 9.907 20
1.894 0.213 9.689 20
1.697 0.271 9.789 21
0.883 0.642 9.734 20
0.328 0.676 9.72 20
0.299 0.58 9.725 20
-0.128 0.831 9.732 20
-0.1 0.707 9.751 20
-0.332 0.786 9.722 20
-0.308 0.62 9.732 21
-0.243 0.403 9.722 20
-0.26 0.436 9.718 20
-0.176 0.529 9.739 20
-0.289 0.467 9.804 20
-0.04 0.13 9.722 20
0.534 -0.049 9.636 20
0.112 0.055 9.744 21
-0.176 -0.049 9.73 20
-0.545 0.063 9.816 20
-0.804 0.048 9.768 20
-1.067 -0.097 9.782 20
-1.809 0.075 9.818 20
-2.468 0.266 9.864 20
-2.748 0.18 9.842 21
-2.791 0.118 9.861 20
